Name,LaTeX,📐 ISQ Quantities,Last edited by,Last edited time
epsilon,$\epsilon$,relative linear strain (https://app.notion.com/p/relative-linear-strain-3c2b24cf917a8079a86ce8e7d79be32d?pvs=21),Steven Jenkins,"August 20, 2026 10:14 AM"
(e),$(e)$,relative linear strain (https://app.notion.com/p/relative-linear-strain-3c2b24cf917a8079a86ce8e7d79be32d?pvs=21),Steven Jenkins,"August 20, 2026 1:21 PM"
E,$E$,"modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21), kinetic energy (https://app.notion.com/p/kinetic-energy-3c0b24cf917a80ebaeddd50a4a76da51?pvs=21), mechanical energy (https://app.notion.com/p/mechanical-energy-3c0b24cf917a80a9a58bd348c1741848?pvs=21)",Steven Jenkins,"August 20, 2026 11:14 AM"
E_m,$E_{\mathrm m}$,modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21),Steven Jenkins,"August 20, 2026 11:14 AM"
Y,$Y$,modulus of elasticity (https://app.notion.com/p/modulus-of-elasticity-3c2b24cf917a804c8ea8d1a611d0dad4?pvs=21),Steven Jenkins,"August 20, 2026 11:15 AM"
K,$K$,modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21),Steven Jenkins,"August 20, 2026 11:23 AM"
K_m,$K_{\mathrm m}$,modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21),Steven Jenkins,"August 20, 2026 11:24 AM"
I_a,$I_{\mathrm a}$,second axial moment of area (https://app.notion.com/p/second-axial-moment-of-area-3c2b24cf917a80e5a283e0ce84398cb5?pvs=21),Steven Jenkins,"August 20, 2026 11:57 AM"
I_p,$I_{\mathrm p}$,second polar moment of area (https://app.notion.com/p/second-polar-moment-of-area-3c2b24cf917a801da507d9a04c051e1f?pvs=21),Steven Jenkins,"August 20, 2026 12:53 PM"
Z,$Z$,section modulus (https://app.notion.com/p/section-modulus-3c2b24cf917a80458bcbc0756d8390da?pvs=21),Steven Jenkins,"August 20, 2026 1:21 PM"
(W),$(W)$,section modulus (https://app.notion.com/p/section-modulus-3c2b24cf917a80458bcbc0756d8390da?pvs=21),Steven Jenkins,"August 20, 2026 1:20 PM"
mu_s,$\mu_{\mathrm s}$,static friction coefficient (https://app.notion.com/p/static-friction-coefficient-3c2b24cf917a80fba36cfb181f3a54c8?pvs=21),Steven Jenkins,"August 20, 2026 1:31 PM"
(f_s),$(f_{\mathrm s})$,static friction coefficient (https://app.notion.com/p/static-friction-coefficient-3c2b24cf917a80fba36cfb181f3a54c8?pvs=21),Steven Jenkins,"August 20, 2026 1:32 PM"
mu,$\mu$,kinetic friction factor (https://app.notion.com/p/kinetic-friction-factor-3c2b24cf917a80eaa7abd87a4dfc3d19?pvs=21),Steven Jenkins,"August 20, 2026 1:40 PM"
(f),$(f)$,kinetic friction factor (https://app.notion.com/p/kinetic-friction-factor-3c2b24cf917a80eaa7abd87a4dfc3d19?pvs=21),Steven Jenkins,"August 20, 2026 1:40 PM"
C_rr,$C_{\mathrm rr}$,rolling resistance factor (https://app.notion.com/p/rolling-resistance-factor-3c2b24cf917a80d1be26c22bc9f87ab0?pvs=21),Steven Jenkins,"August 20, 2026 2:03 PM"
c_D,$c_{\mathrm D}$,drag coefficient (https://app.notion.com/p/drag-coefficient-3c2b24cf917a80b4bf23fe2f089155c8?pvs=21),Steven Jenkins,"August 20, 2026 11:34 PM"
P,$P$,power (https://app.notion.com/p/power-6b46a58f6c09450e8f06c8a259a7f386?pvs=21),Steven Jenkins,"August 20, 2026 3:17 PM"
E_p,$E_{\mathrm p}$,potential energy (https://app.notion.com/p/potential-energy-3c0b24cf917a808b8862f519aa141277?pvs=21),Steven Jenkins,"August 20, 2026 3:33 PM"
E_k,$E_{\mathbf k}$,kinetic energy (https://app.notion.com/p/kinetic-energy-3c0b24cf917a80ebaeddd50a4a76da51?pvs=21),Steven Jenkins,"August 20, 2026 3:37 PM"
W,$W$,"mechanical energy (https://app.notion.com/p/mechanical-energy-3c0b24cf917a80a9a58bd348c1741848?pvs=21), mechanical work (https://app.notion.com/p/mechanical-work-484e3ebc766846ad841853990b0e3526?pvs=21)",Steven Jenkins,"August 20, 2026 3:40 PM"
j_m,$\boldsymbol j_m$,mass flow (https://app.notion.com/p/mass-flow-3c2b24cf917a80a68b80f5bb11576eb6?pvs=21),Steven Jenkins,"August 20, 2026 3:56 PM"
q_m,$q_m$,"mass flow rate (https://app.notion.com/p/mass-flow-rate-3c2b24cf917a80ae91b7ccdb72d9ddff?pvs=21), mass change rate (https://app.notion.com/p/mass-change-rate-3c2b24cf917a806f8dc4f5b857a5df21?pvs=21)",Steven Jenkins,"August 20, 2026 4:15 PM"
q_v,$q_{\mathrm v}$,volume flow rate (https://app.notion.com/p/volume-flow-rate-3c3b24cf917a80b0950dfc5bb3685f06?pvs=21),Steven Jenkins,"August 20, 2026 11:21 PM"
(Theta),$(\Theta)$,thermodynamic temperature (https://app.notion.com/p/thermodynamic-temperature-3563a23de696430dba1318bc426334f3?pvs=21),Steven Jenkins,"August 21, 2026 9:28 PM"
alpha_l,$\alpha_l$,linear expansion coefficient (https://app.notion.com/p/linear-expansion-coefficient-3c4b24cf917a801b842fcb3ab55dd5e6?pvs=21),Steven Jenkins,"August 21, 2026 9:52 PM"
alpha_V,$\alpha_V$,cubic expansion coefficient (https://app.notion.com/p/cubic-expansion-coefficient-3c4b24cf917a8019bf8df4a2d5dbeecf?pvs=21),Steven Jenkins,"August 21, 2026 10:01 PM"
upsilon,$\upsilon$,,Steven Jenkins,"August 21, 2026 10:02 PM"
